time,theta_D_joint,theta_P_joint,theta_M_joint
0,72.0,89.0,89.0
0.02,72.0,89.0,83.94216324
0.04,72.0,89.0,78.88462408311496
0.06,72.0,89.0,73.8273825118339
0.08,72.0,89.0,68.7704385086469
0.1,72.0,89.0,63.713792056045065
0.12000000000000001,72.0,89.0,58.657443136520484
0.14,72.0,89.0,53.60139173256633
0.16,72.0,89.0,48.54563782667679
0.18,72.0,89.0,43.490181401347066
0.19999999999999998,72.0,89.0,38.43502243907341
0.21999999999999997,72.0,89.0,33.38016092235309
0.23999999999999996,72.0,89.0,28.325596833684422
0.25999999999999995,72.0,89.0,23.271330155566726
0.27999999999999997,72.0,89.0,18.21736087050037
0.3,72.0,89.0,13.16368896098675
0.32,72.0,89.0,8.110314409528286
0.34,72.0,89.0,3.057237198628429
0.36000000000000004,72.0,89.0,0.0
0.38000000000000006,72.0,75.49853999999999,0.0
0.4000000000000001,72.0,63.4976322644,0.0
0.4200000000000001,72.0,52.830505414534585,0.0
0.4400000000000001,72.0,43.34892304276321,0.0
0.46000000000000013,72.0,34.92112373579051,0.0
0.48000000000000015,72.0,27.429990043794753,0.0
0.5000000000000001,72.0,20.771420950327407,0.0
0.5200000000000001,72.0,14.852885225908018,0.0
0.5400000000000001,72.0,9.592135561900601,0.0
0.5600000000000002,72.0,4.916065615550969,0.0
0.5800000000000002,72.0,0.7596940830386343,0.0
0.6000000000000002,72.0,0.0,0.0
0.6200000000000002,67.08700380800002,0.0,0.0
0.6400000000000002,62.17407559221533,0.0,0.0
0.6600000000000003,57.26121535170544,0.0,0.0
0.6800000000000003,52.34842308552984,0.0,0.0
0.7000000000000003,47.43569879274803,0.0,0.0
0.7200000000000003,42.52304247241953,0.0,0.0
0.7400000000000003,37.61045412360389,0.0,0.0
0.7600000000000003,32.69793374536063,0.0,0.0
0.7800000000000004,27.785481336749328,0.0,0.0
0.8000000000000004,22.87309689682955,0.0,0.0
0.8200000000000004,17.960780424660886,0.0,0.0
0.8400000000000004,13.048531919302931,0.0,0.0
0.8600000000000004,8.136351379815295,0.0,0.0
0.8800000000000004,3.2242388052576043,0.0,0.0
0.9000000000000005,0.0,0.0,0.0
0.9200000000000005,0.0,0.0,0.0
0.9400000000000005,0.0,0.0,0.0
0.9600000000000005,0.0,0.0,0.0
0.9800000000000005,0.0,0.0,0.0
1.0000000000000004,0.0,0.0,0.0
