Voltage,Velocity
12.2,0
12.2,253
12.2,271
12.2,274
12.2,275
12.2,280
12.2,277
0.0,276
12.2,31
0.0,251
12.2,22
0.0,249
12.2,28
0.0,245
0.0,24
12.2,0
12.2,246
0.0,279
0.0,30
12.2,0
12.2,245
12.2,272
0.0,281
12.2,26
12.2,250
12.2,273
0.0,273
12.2,29
0.0,250
0.0,25
12.2,0
0.0,246
12.2,25
12.2,248
0.0,275
0.0,29
0.0,0
12.2,0
12.2,249
0.0,274
12.2,25
12.2,244
12.2,277
12.2,278
0.0,279
12.2,30
12.2,246
0.0,279
12.2,28
0.0,246
12.2,23
12.2,244
0.0,275
12.2,28
12.2,250
0.0,276
0.0,28
12.2,0
0.0,241
0.0,26
12.2,0
0.0,250
0.0,27
0.0,0
12.2,0
12.2,244
12.2,272
0.0,275
0.0,28
0.0,0
0.0,0
12.2,0
0.0,248
12.2,26
12.2,248
12.2,272
12.2,279
12.2,277
0.0,279
0.0,29
12.2,0
0.0,243
12.2,25
0.0,248
12.2,26
12.2,250
12.2,273
0.0,278
0.0,30
12.2,0
12.2,248
0.0,277
12.2,29
0.0,240
0.0,25
0.0,0
12.2,0
0.0,248
0.0,26
12.2,0
12.2,248
12.2,274
12.2,277
0.0,282
0.0,32
0.0,0
12.2,0
0.0,247
12.2,23
0.0,242
0.0,26
0.0,0
0.0,0
12.2,0
12.2,247
0.0,275
0.0,31
0.0,0
0.0,0
0.0,0
12.2,0
0.0,248
0.0,27
0.0,0
0.0,0
0.0,0
0.0,0
